"Crop","(Pre- Green Revolution) 1951-52 to 1967-68","(Green Revolution) 1968-69 to 1980-81","(Wider Coverage) 1981-82 to 1990-91","(Early Liberalisation) 1991-92 to 1996-97","(Ninth Plan) 1997-98 to 2001-02","(Tenth Plan) 2002-03 to 2006-07","(Eleventh Plan) 2007-08 to 2011-12"
"Wheat","3.7","3.3","3.6","2.8","0.7","-0.3","3.0"
"Rice","3.2","2.7","3.0","1.4","2.1","1.2","2.2"
"Jowar","3.4","2.9","3.2","1.3","0.2","2.1","3.1"
"Bajra","2.6","6.3","8.8","6.2","4.9","7.3","8.4"
"Maize","4.8","1.7","4.1","2.6","3.1","-0.2","6.5"
"Coarse cereals","2.6","1.5","3.1","4.3","1.3","1.7","7.3"
"Pulses","2.3","-0.2","2.3","1.9","-0.3","0.6","2.7"
"Oilseeds ","1.3","0.8","4.8","3.3","0.4","3.5","5.4"
"Cotton","3.0","2.6","5.3","3.1","-6.2","19.4","3.9"
"Sugarcane ","1.6","3.1","1.3","0.4","0.3","0.7","0.5"
"","","","","","","",""
