Commodities(rs/quin),2002,2004,2005,2006,2007,2008,2009,2010,2011,2012
Paddy (Common) ,550,560,570,580,645,850,950,1000,1080,1250
Paddy (Grade ‘A’) ,580,590,600,610,675,880,980,1030,1110,1280
Wheat ,630,640,650,750,1000,1080,1100,1120,1285,1350
Jowar (Hybrid),490,515,525,540,600,840,840,880,980,1500
Jowar (Maldandi),...,...,...,555,620,860,860,900,1000,1520
Bajra,495,515,525,540,600,840,840,880,980,1175
Ragi,490,515,525,540,600,915,915,965,1050,1500
Maize ,490,525,540,540,620,840,840,880,980,1175
Barley ,505,540,550,565,650,680,750,780,980,980
Gram ,1225,1425,1435,1445,1600,1730,1760,2100,2800,3000
Masur,...,1525,1535,1545,1700,1870,1870,2250,2800,2900
Arhar ,1325,1390,1400,1410,1550,2000,2300,3000,3200,3850
Moong ,1335,1410,1520,1520,1700,2520,2760,3170,3500,4400
Urad ,1335,1410,1520,1520,1700,2520,2520,2900,3300,4300
Sugarcane (Statutory minimum price) a,69.5,74.5,79.5,80.25,81.18,81.18,129.84,139.12,145,170
Cotton F-414/H-777 ,1695,1760,1760,1770,1800,2500,2500,2500,2800,3600
Cotton H-4 750 ,1895,1960,1980,1990,2030,3000,3000,3000,3300,3900
Groundnut ,1375,1500,1520,1520,1550,2100,2100,2300,2700,3700
Jute(TD-5) ,850,890,910,1000,1055,1250,1375,1575,1675,2200
Rapeseed/ mustard ,1340,1700,1715,1715,1800,1830,1830,1850,2500,3000
Sunflower ,1210,1340,1500,1500,1510,2215,2215,2350,2800,3700
Soyabean (Black) ,805,900,900,900,910,1350,1350,1400,1650,2200
Soyabean (Yellow) ,895,1000,1010,1020,1050,1390,1390,1440,1690,2240
Safflower ,1305,1550,1565,1565,1650,1650,1680,1800,2500,2800
Toria ,1305,1665,1680,1680,1735,1735,1735,1780,2425,...
Copra (milling) ,3300,3500,3570,3590,3620,3660,4450,4450,4525,5100
Copra balls ,3550,3750,3820,3840,3870,3910,4700,4700,4775,5350
Sesamum ,1455,1500,1550,1560,1580,2750,2850,2900,3400,4200
Niger seed ,1120,1180,1200,1220,1240,2405,2405,2450,2900,3500
