,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,
,Qty,Rs. Lacs,Qty,Rs. Lacs,Qty,Rs. Lacs,Qty,Rs. Lacs,Qty,Rs. Lacs,Qty,Rs. Lacs,Qty,Rs. Lacs,Qty,Rs. Lacs,Qty,Rs. Lacs,Qty,Rs. Lacs,Qty,Rs. Lacs,Qty,Rs. Lacs
Buffalo Meat,343817.08,153677.16,337777.65,177451.85,461027.87,263811.34,494536.43,321401.93,484494.55,356060.67,463727.81,484934.96,495538.02,548822.48,726718.05,861404.48,987714.46,1375734.36,1108662.35,1742024.02,1451941.75,2647235.44,1476309.78,2928915.69
Basmati Rice,771475.37,199304.57,1162989.16,282389.85,1166562.79,304309.26,1045714.95,279280.89,1183355.73,434458.12,1556411.06,947702.98,2016775,1088913.37,2370658.39,1135463.37,3178174.43,1544959.62,3459898.93,1940939.06,3757271.42,2929995.91,3702260.07,2759789.17
Rice,2640438.93,217479.76,3615109.55,394501.93,2921601.91,317816.79,3702191.99,424307.84,5285916.33,740979.43,931879.8,168737.41,139540.76,36529.61,100685.78,23128.82,3997719.57,865912.61,6687990.85,1444880.75,7133183.37,1774995.98,8274046.02,2042854.26
Guargum,120561.27,50789.55,131299.98,68947.69,186718.4,104923.29,189304.36,112579.2,211166.56,112574.57,258567.56,133898.53,218479.74,113330.55,441607.7,293869.89,707326.43,1652386.71,406311.81,2128701.08,601945.42,1173452.49,665177.71,947993.57
Wheat,4093080.52,239115.26,2009343.03,145982.45,746173.23,55752.78,46633.21,3535.09,237.27,23.94,1120.52,145.73,47.3,5.59,394.47,69.96,740746.76,102326.85,6514810.6,1052900.15,5562374.74,926161.08,2924070.18,499183.94
Groundnuts,176109.32,54430.45,177154.08,54702.39,190053.34,51368.77,251428.65,79846.01,269587.64,105407.83,297890.37,123900.93,340246.31,142593.3,433753.23,217840.59,832616.93,524644.77,535637.36,406536.09,509664.84,318773.51,708386.26,467536.9
Maize,543270.88,35445.19,1082256.38,71992.3,419947.78,31600.35,637411.33,49885.61,2727715.32,244343.79,3537302.94,337499.24,2632874.95,255376.65,3010423.39,335946.44,3855721.2,515751.49,4788328.25,709634.06,3954236.61,598365.81,2825610.6,403750.82
Cereal Preparations,46699.19,24238.54,52743.57,29324.5,113453.36,54360.02,112650.35,60153.64,138953.53,68128.24,208836.81,110514.46,172622.38,103008.61,226485.28,126179.36,301289.71,188859.7,293124.3,224076.04,321468.07,285500.15,306328.81,303875.5
Miscellaneous Preparations,45452.92,18428.98,40130.75,20253.49,59670.32,27960.14,67895.38,30590.35,95096.03,42741.48,123957.94,56071.68,146626.21,67669.2,159209.16,83281.49,229341.93,121916.02,293958.19,171205.7,338972.77,218388.87,372998.36,243781.07
Fresh Onions,859938.75,71586.73,870216.85,64411.9,960507.32,70815.88,1378373.17,116330.57,1008606.48,103577.89,1670186.29,182752.21,1664922.39,231942.98,1182324.2,177928.62,1309924.82,172299.8,1666872.6,196662.66,1482498.58,316961.25,1238102.6,230054.14
Alcoholic Beverages,18913.44,5221.32,26884.36,9600.68,64003.21,20304.69,48631.82,21669.99,58474.3,33555.64,52762.01,53462.83,68107.78,58245.19,122295.16,81683.52,214110.69,145944.99,264466.08,190937,311564.19,239357.58,264625.53,223162.15
Other Fresh Vegetables,164708.51,19657.32,161937.43,16876.77,193347.61,21485.55,254543.13,37642.97,328030.5,43457.46,469836.31,59427.09,398530.29,67330.81,452679.76,80437.72,665419.22,115298.05,724230.51,136850.61,881598.72,202799.29,798600.54,215867.19
Processed Vegetables,72994.56,28708.51,92750.25,32964.88,122595.82,46679.02,135972.53,61460.36,163445.68,64101.37,158798.13,66188.04,142154.7,75945.89,179066.02,94122.71,224505.92,124998.32,193099.15,135757.78,204662.62,170739.4,180388.47,191340.34
"Processed Fruits, Juices & Nuts",43408.69,14220.63,56278.87,17571.91,89481.86,29517.66,93432.89,33734.37,115593.68,42381.81,122715.14,56521.23,157349.58,66997.64,123206.64,59175.58,203028.67,111615.85,223074.34,145259.34,246131.21,182352.26,253346.85,189974.74
Other Cereals,60951.78,4309.35,95767.34,7390.24,147265.38,13781.77,92863.89,10039.53,500336.41,55889.17,462345.11,54558.46,291593.34,41932.35,209647.62,28902.06,217962.03,33540.86,652975.53,108427.36,657700.54,115690.83,688199.92,122401.73
Pulses,152774.18,32556.6,266987.85,58985.45,451626.05,112465.85,255084.47,78999.4,170614.39,54900.85,136880.08,54232.5,100130.94,40832.47,209010.49,87004.28,174625.18,106793.13,202751.36,128500.32,345276.73,174762.72,222262.07,121908.35
Dairy Products,8918.38,8710.16,42160.06,35869.23,75551.39,67668.25,45371.84,43457.8,69415.44,86656.36,70146.77,98086.06,34379.97,40268.39,37435.87,54797.37,25639.51,28935.68,87824.21,141209.83,159228.51,331857.4,66424.37,120539.56
Cucumber and Gherkins( Prepd. & Presvd),97462.61,18839.86,115110.09,22069.74,221158.78,43670.69,234725.03,50263.05,188196.26,39604.65,299991.75,78917.96,263308.28,74134.45,209231.83,51525.79,258603,74503.45,238624.89,85659.18,218749.79,95520.18,251183.01,120242.24
Jaggery & Confectionery,295013.25,33148.23,23562.75,8652.9,53446.81,16131.95,77994.06,22381.75,384961.88,52064.02,472719.71,80356.65,126882.35,42776.12,72361.48,32299.57,207694.35,76421.98,246566.93,91759.98,266471.96,113687.91,258252.73,116181.13
Other Fresh Fruits,134601.55,15310.06,131443.06,15818.03,170352.9,25453.81,174608.32,30366.19,200861.16,29400.43,252910.83,42551.91,256070.65,51354.82,250691.12,48610.38,262483.76,71631.08,256249.43,72688.1,232109.67,92436.87,261211.71,108405.9
