Year,Rice,Jowar,Bajra,Maize,Ragi,Small millets,Wheat,Barley,Gram,Arhar/Tur,Other Pulses,Pulses total,Total foodgrain,Groundnut,Sesamum,Rapeseed &Mustard,Linseed,Castor seed,Oilseeds total,Cotton(lint),Jute,Mesta,Tea,Coffee,Rubber,Banana,Sugarcane,Tobacco,Potato,Black pepper,Dry chillies,Ginger,Coconut ,Turmeric
2000,44712,9856,9829,6611,1759,1424,25731,778,5185,3632,12531,20348,121048,6559,1720,4477,580,1080,22770,8535,828,190,504,347,400,459,4316,262,1222,214,836,86,1824,192
2001,44904,9795,9529,6582,1647,1310,26345,660,6416,3328,12264,22008,122780,6238,1671,5073,536,717,22636,9132,873,174,510,347,401,489,4412,348,1208,219,880,91,1932,167
2002,41176,9300,7740,6635,1415,1201,25196,702,5906,3359,11231,20496,113860,5936,1444,4544,450,583,21489,7670,864,171,516,354,408,460,4520,327,1345,224,827,88,1922,150
2003,42593,9331,10612,7343,1666,1191,26595,657,7048,3516,12894,23458,123446,5987,1700,5428,477,717,23663,7598,849,153,520,355,428,391,3938,370,1289,233,774,85,1934,150
2004,41907,9092,8233,7430,1553,1101,26383,616,6715,3518,12530,22763,120078,6640,1844,7316,449,743,27523,8787,774,142,521,363,440,404,3662,366,1318,228,738,95,1935,159
2005,43660,8667,9581,7588,1534,1064,26484,630,6926,3581,11884,22391,121599,6736,1723,7276,437,864,27863,8677,760,138,556,380,447,424,4202,373,1401,260,654,111,1947,172
2006,43814,8472,9508,7894,1177,1010,27994,646,7494,3562,12136,23192,123708,5615,1703,6790,436,628,26513,9144,793,142,567,381,454,477,5151,369,1484,246,763,106,1937,178
2007,43914,7764,9571,8117,1387,1039,28039,603,7544,3726,12364,23633,124068,6292,1799,5826,468,787,26693,9414,814,146,578,388,459,658,5055,348,1553,197,806,104,1903,175
2008,45537,7531,8752,8174,1381,905,27752,706,7892,3378,10824,22094,122834,6165,1809,6298,408,866,27558,9407,786,115,579,394,463,709,4415,391,1828,239,779,109,1903,181
2009,41918,7787,8904,8261,1268,831,28457,624,8169,3466,11646,23282,121333,5478,1942,5588,342,735,25959,10132,811,94,579,400,468,770,4175,444,1835,197,767,107,1895,180
