STATES,YEAR,Crop,Area,Production,Annual_Rain,Avg_Temperature,Price,Cost_per_Hectare,Cost_per_quintal,Suicides,Export
ANDAMAN & NICOBAR ISLANDS,2000,Arecanut,4354.0,7200.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2000,Other Kharif pulses,670.0,449.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2000,Rice,10881.0,32184.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2000,Banana,1707.0,12714.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2000,Cashewnut,800.0,219.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2000,Coconut ,25160.0,89000000.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2000,Dry ginger,388.0,1220.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2000,Sugarcane,142.0,3738.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2000,Sweet potato,83.0,858.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2000,Tapioca,200.0,2277.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2001,Arecanut,4354.0,7300.0,3080.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2001,Other Kharif pulses,420.0,200.0,3080.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2001,Rice,9801.0,27333.0,3080.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2001,Cashewnut,800.0,225.0,3080.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2001,Coconut ,25205.0,89680000.0,3080.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2001,Dry ginger,390.0,1224.0,3080.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2001,Sugarcane,82.0,2380.0,3080.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2001,Sweet potato,111.0,38.0,3080.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2002,Rice,10885.0,32111.66,2620.2,25.0,1130.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2002,Arecanut,4363.0,7350.0,2620.2,25.0,0.0,0.0,0.0,0.0,0.0
