STATES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ANDAMAN & NICOBAR ISLANDS,2763.2,3080.9,2620.2,2355.9,2460.1,2954.7,2404.7,2748.0,3374.8,2538.6,3157.1,3828.0,3497.6,3757.8,2622.4,2904.6
ANDHRA PRADESH,931.8,966.9,659.2,911.15,807.6500000000001,1144.0,898.8499999999999,1039.9,952.75,739.35,1337.95,799.95,1016.7,941.55,713.3499999999999,1029.0
ARUNACHAL PRADESH,2596.8,2036.0,2389.2,2451.8,2545.7,2335.5,2259.6,3020.7,2244.4,1749.9,2855.7,2193.7,3440.3,2042.9,2403.2,2767.5
BIHAR,1207.0,1247.0,1105.8,1353.9,1147.8,907.8,1052.8,1600.2,1197.7,889.3,629.2,1097.1,1032.4,1069.9,1061.0,872.7
CHHATTISGARH,906.3,1600.1,990.2,1694.3,1144.5,1287.2,1317.7,1281.2,1108.5,956.6,1306.6,1302.7,1377.4,1420.0,1278.7,1117.6
GOA,3133.2,2395.4,2537.2,2842.3,2985.9,3615.7,3482.2,3468.5,3053.1,2716.6,3778.1,3825.2,3018.4,3524.0,2757.5,2082.0
GUJARAT,418.35,679.6,472.65000000000003,923.25,744.0,974.0,1089.9,1034.8000000000002,759.5,619.25,1104.3000000000002,816.5,518.9,900.1999999999999,544.8,532.3
HARYANA,384.4,485.5,357.2,597.6,487.3,519.5,330.9,446.6,710.4,395.4,640.5,512.0,391.4,461.2,305.5,435.3
HIMACHAL PRADESH,1068.4,991.8,990.4,1034.5,878.5,1248.5,1218.4,1034.5,1114.2,956.5,1259.4,1108.3,951.6,1211.9,1008.7,1210.5
JAMMU & KASHMIR,984.6,952.7,903.5,1311.1,944.9,1692.7,1519.8,1023.5,1224.5,0.0,997.9,887.6,1034.7,859.3,1093.4,1572.8
JHARKHAND,1191.5,1254.4,1034.9,1245.0,1136.6,960.4,1459.5,1437.3,1325.3,996.1,697.1,1374.7,1065.0,1253.6,1156.6,1081.8
KARNATAKA,1756.9666666666665,1545.3,1359.8,1436.0666666666666,1615.0999999999997,1865.8999999999999,1839.466666666667,1976.033333333333,1686.4666666666665,1977.9666666666665,1926.5666666666666,1883.7333333333336,487.2,2021.0999999999997,1875.1333333333332,1590.1333333333332
KERALA,2412.6,2931.1,2507.4,2394.9,2886.1,3031.1,3420.6,3489.6,2524.5,2810.6,3131.8,3035.1,2151.1,3255.4,3046.4,2600.6
LAKSHADWEEP,1372.1,1380.6,1033.5,1532.9,1553.2,1575.4,1598.6,2361.6,1726.8,1570.1,1725.2,1533.7,1405.5,1426.3,1395.0,1642.9
MADHYA PRADESH,437.1,978.55,817.1500000000001,1192.25,901.7,1059.3000000000002,1056.3,730.15,897.1500000000001,910.45,868.3499999999999,1169.5500000000002,1044.15,1459.1,894.9,990.75
MAHARASHTRA,830.4,879.8666666666667,796.0666666666666,837.1,813.3666666666667,1125.4666666666665,1161.3999999999999,974.0,809.9333333333333,793.8000000000001,1125.7333333333333,803.1,774.7333333333332,1123.4666666666667,768.6666666666666,723.5
MEGHALAYA,2487.0,2178.4,2392.7,2434.1,2994.3,2468.3,1898.6,2752.8,2339.7,2068.2,2711.5,1743.4,2609.4,1816.4,2206.1,2470.9
ORISSA,1097.2,1672.5,1102.8,1648.2,1290.4,1503.4,1716.9,1633.8,1538.9,1330.3,1291.9,1346.2,1405.9,1632.4,1536.9,1210.1
PUNJAB,405.3,441.0,274.7,424.6,351.7,552.0,647.7,594.8,717.1,361.2,451.5,705.2,493.6,586.6,382.7,510.8
RAJASTHAN,337.65,418.25,188.85000000000002,497.35,401.45000000000005,414.35,554.85,443.25,484.35,287.25,581.3,610.4,510.45000000000005,612.75,492.84999999999997,554.55
TAMIL NADU,972.0,483.4,318.0,348.5,1037.6,1365.3,927.9,1067.2,1203.4,928.5,1095.2,926.5,636.1,741.9,913.0,1204.6
TELANGANA,1078.0,922.3,765.3,963.2,667.0,1163.1,1053.0,843.3,1035.3,666.3,1276.4,753.1,1008.6,1348.7,746.4,857.3
TRIPURA,2363.9,2149.0,2242.3,2162.2,2353.7,1836.7,1872.0,2538.2,1748.9,1737.7,2295.2,1892.1,1922.9,1557.2,1599.9,1922.4
UTTAR PRADESH,859.0999999999999,817.75,657.1500000000001,1071.95,694.5999999999999,748.0,580.7,656.85,876.5999999999999,579.7,756.45,779.3,496.15000000000003,987.1,594.05,593.0
UTTARAKHAND,1712.9,1544.4,1574.7,1734.3,1219.6,1348.2,1178.9,1924.3,1363.7,847.8,1424.0,1564.7,1223.9,1735.4,1287.4,1247.6
WEST BENGAL,2240.05,2076.6,2080.15,2110.0,2142.05,2206.3,1961.3,2290.15,2122.55,1819.8,1838.5500000000002,2052.6,1950.1,2085.1,1792.0,2024.4499999999998
