Sl. No.,State/UT,2010,2011,2012,2013,2014,2014 - Labourers
1,ANDHRA PRADESH,2525,2206,2572,2014,160,472
2,ARUNACHAL PRADESH,18,13,11,37,0,3
3,ASSAM,369,312,344,305,21,38
4,BIHAR,95,83,68,127,0,10
5,CHHATTISGARH,1126,0,4,0,443,312
6,GOA,15,1,1,1,0,0
7,GUJARAT,523,578,564,582,45,555
8,HARYANA,297,384,276,374,14,105
9,HIMACHAL PRADESH,61,46,29,33,32,31
10,JAMMU & KASHMIR,18,14,10,18,12,25
11,JHARKHAND,173,94,119,142,0,4
12,KARNATAKA,2585,2100,1875,1403,321,447
13,KERALA,895,830,1081,972,107,700
14,MADHYA PRADESH,1237,1326,1172,1090,826,372
15,MAHARASHTRA,3141,3337,3786,3146,2568,1436
16,MANIPUR,4,0,0,1,0,0
17,MEGHALAYA,16,22,10,5,0,2
18,MIZORAM,5,14,10,6,0,5
19,NAGALAND,0,2,9,2,0,0
20,ODISHA,162,144,146,150,5,97
21,PUNJAB,80,98,75,83,24,40
22,RAJASTHAN,390,268,270,292,0,373
23,SIKKIM,19,12,19,35,35,0
24,TAMIL NADU,541,623,499,105,68,827
25,TELANGANA,NA,NA,NA,NA,898,449
26,TRIPURA,58,20,18,56,0,32
27,UTTAR PRADESH,548,645,745,750,63,129
28,UTTARAKHAND,39,25,14,15,0,0
29,WEST BENGAL,993,807,NA,0,0,230
30,A & N ISLANDS,8,0,0,5,8,0
31,CHANDIGARH,0,0,0,0,0,0
32,D & N HAVELI,10,13,6,15,0,0
33,DAMAN & DIU,0,0,0,0,0,0
34,DELHI (UT),9,10,21,8,0,0
35,LAKSHADWEEP,0,0,0,0,0,0
36,PUDUCHERRY,4,0,0,0,0,16
